doy,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1965,1966,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1998,1999,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2016,2017,2018,2020,2021,2022,2023,2024,2025
11,28.94,15.979999999999997,35.96,42.980000000000004,44.06,50.0,46.04,30.92,46.04,42.08,46.04,50.0,42.08,33.98,37.94,28.94,44.96,35.96,30.02,42.08,44.96,46.04,32.0,50.0,35.06,42.08,35.06,35.06,44.06,53.06,44.96,37.94,28.04,37.94,39.02,35.06,37.04,37.04,46.04,41.0,42.08,37.94,37.94,33.08,35.96,48.02,41.0,46.94,,,37.94,48.92,44.06,,50.0,37.94,50.0,,42.08,41.0,33.98,33.98,41.0,48.92,46.04,46.94,42.980000000000004,39.92,39.02,48.92,35.96,39.02
12,39.02,26.060000000000002,33.98,37.04,44.06,53.96,42.980000000000004,32.0,42.08,51.08,39.02,57.02,39.92,39.92,37.94,26.96,39.02,33.08,30.92,48.92,48.92,39.02,32.0,55.94,46.04,33.98,37.94,39.92,44.96,48.02,57.92,42.980000000000004,39.02,30.92,37.94,35.06,37.04,30.92,33.98,35.06,48.02,46.94,35.96,33.08,35.06,53.06,37.04,46.94,,,42.980000000000004,48.92,42.980000000000004,,39.92,28.94,46.94,46.04,50.0,42.980000000000004,33.98,32.0,39.02,42.980000000000004,41.0,44.06,37.04,44.06,37.94,50.0,35.96,39.92
13,35.06,24.98,28.94,33.98,39.02,51.98,33.98,37.94,53.96,50.0,39.92,50.0,30.92,35.06,37.04,24.08,33.98,35.06,44.06,50.0,51.98,42.980000000000004,35.96,50.0,44.96,33.98,32.0,37.94,48.92,42.980000000000004,60.980000000000004,42.980000000000004,44.96,30.02,33.08,30.02,39.92,33.08,37.94,30.92,48.92,51.08,30.92,42.08,39.02,53.96,39.92,42.08,,,37.04,48.92,44.06,,42.08,26.060000000000002,39.92,44.06,44.96,42.08,33.98,28.04,39.02,42.980000000000004,37.94,41.0,39.92,44.06,42.980000000000004,51.98,41.0,39.02
14,33.98,28.04,39.92,35.06,46.94,48.92,33.98,32.0,51.98,42.08,37.04,39.92,33.98,42.980000000000004,30.02,28.94,35.06,35.96,48.02,35.06,51.98,44.06,33.98,50.0,42.08,33.98,33.98,33.08,53.06,46.04,55.94,42.980000000000004,37.94,33.98,30.92,33.08,42.08,32.0,41.0,32.0,48.02,48.02,30.92,44.96,37.04,53.06,39.02,50.0,,,39.02,51.98,41.0,,48.02,26.060000000000002,37.04,39.02,39.02,48.02,33.98,28.94,37.94,39.02,35.06,42.980000000000004,39.92,46.04,42.08,48.92,44.96,33.08
15,32.0,32.0,30.02,42.08,46.04,37.94,39.02,35.96,55.04,42.980000000000004,35.96,39.02,39.92,37.94,28.94,26.96,37.04,39.02,53.96,32.0,46.04,42.980000000000004,35.06,44.96,53.06,35.06,33.98,33.08,48.02,46.04,46.94,44.96,33.98,42.980000000000004,39.92,37.04,42.980000000000004,42.980000000000004,44.96,30.92,44.06,46.94,37.04,39.92,37.94,44.96,42.980000000000004,53.06,,,33.98,46.04,42.08,,39.92,26.96,37.94,37.04,39.92,,33.08,30.02,39.02,48.02,37.04,44.06,35.06,39.92,42.08,44.96,42.980000000000004,35.06
16,35.06,28.94,42.08,33.98,39.92,37.04,48.92,42.08,44.06,37.94,37.04,37.94,30.92,39.02,26.96,28.04,42.08,35.96,39.02,39.92,50.0,50.0,32.0,53.06,55.04,33.98,33.98,33.08,51.98,39.02,51.98,42.08,37.94,44.06,39.92,37.04,44.06,39.92,44.96,33.98,44.96,39.92,35.96,39.92,35.06,39.92,42.980000000000004,53.96,,,35.06,41.0,46.94,,39.92,28.04,35.96,39.02,41.0,44.06,30.02,30.92,37.94,50.0,33.98,53.06,41.0,46.04,46.94,42.980000000000004,42.08,33.98
17,30.02,32.0,53.96,48.02,33.98,48.92,48.02,32.0,37.94,35.06,37.04,39.92,32.0,33.98,30.02,32.0,42.08,33.08,33.98,32.0,51.98,51.08,33.08,42.08,51.08,35.96,37.04,30.92,48.92,33.98,50.0,51.08,37.94,39.92,32.0,33.98,55.94,32.0,44.96,37.94,37.94,39.92,37.94,42.08,39.02,35.06,46.94,53.06,,,33.08,37.94,46.94,,39.02,28.04,35.96,37.94,51.08,44.96,28.94,32.0,37.94,53.06,35.06,51.08,35.96,44.96,44.06,35.96,44.06,35.96
18,32.0,33.08,51.98,50.0,35.96,51.98,39.92,30.02,46.04,33.08,35.96,44.06,37.04,28.94,35.96,33.08,42.980000000000004,30.92,32.0,39.02,46.04,55.04,33.08,48.92,55.04,33.98,33.98,30.02,44.06,39.02,39.92,46.94,41.0,46.94,30.92,37.94,53.06,32.0,44.96,37.04,33.98,39.02,37.94,46.04,37.04,35.96,46.94,46.94,,,30.92,42.08,46.04,,48.92,28.04,33.98,37.94,48.92,41.0,30.02,33.08,35.06,51.08,44.96,48.02,39.02,46.04,39.92,35.06,41.0,39.02
19,32.0,42.08,53.06,39.92,35.06,51.98,42.08,39.92,50.0,35.06,35.06,39.02,37.04,30.02,48.02,30.92,42.980000000000004,37.04,35.96,53.96,46.94,48.02,44.96,41.0,53.06,33.98,39.92,33.08,48.92,33.98,33.08,53.06,39.92,39.92,37.04,35.06,53.06,33.08,39.92,39.02,33.08,39.92,33.98,41.0,37.04,35.96,46.94,42.980000000000004,,,32.0,41.0,46.04,,41.0,33.08,33.98,39.02,48.92,42.08,33.98,33.08,37.04,48.92,46.04,44.06,37.04,44.06,42.08,37.94,46.04,35.06
20,30.02,30.92,50.0,33.98,46.04,51.98,35.96,39.92,51.08,46.04,37.94,44.06,41.0,30.02,39.02,26.96,50.0,28.94,33.98,55.04,46.94,51.98,44.06,33.98,48.02,35.96,33.98,39.92,41.0,33.98,33.08,53.96,37.04,32.0,33.98,37.94,42.08,37.94,35.06,37.04,33.98,35.96,33.08,50.0,39.02,39.92,39.92,39.92,,,33.08,42.980000000000004,48.92,,33.98,33.08,35.06,37.94,46.94,39.92,50.0,33.08,37.04,42.980000000000004,44.96,37.04,42.980000000000004,41.0,39.92,33.98,53.06,35.06
